timestamp,Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2,Prec_fold3,Rec_fold3,F1_fold3,AUC_fold3,Prec_fold4,Rec_fold4,F1_fold4,AUC_fold4,Prec_fold5,Rec_fold5,F1_fold5,AUC_fold5,Prec_fold6,Rec_fold6,F1_fold6,AUC_fold6,Prec_fold7,Rec_fold7,F1_fold7,AUC_fold7,Prec_fold8,Rec_fold8,F1_fold8,AUC_fold8,Prec_fold9,Rec_fold9,F1_fold9,AUC_fold9
2022-09-08 16:36:59.229005,ripperK,bpi15E,decl2,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:38:14.225899,ripperK,bpi15E,decl2,mr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:39:27.540624,ripperK,bpi15E,decl2,mra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:40:35.203107,ripperK,bpi15E,decl2,tr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:41:47.811176,ripperK,bpi15E,decl2,tra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 02:35:39.602945,ripperK,bpi15E,decl2,declare,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:36:25.799274,ripperK,bpi15E,decl2,hybrid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:36:50.415315,ripperK,bpi15E,decl2,payload,0.864864864864865,0.82051282051282,0.842105263157895,0.251686909581646,0.909090909090909,0.769230769230769,0.833333333333333,0.212719298245614,0.864864864864865,0.82051282051282,0.842105263157895,0.227732793522267,0.842105263157895,0.82051282051282,0.831168831168831,0.308367071524966,0.90625,0.743589743589744,0.816901408450704,0.231950067476383,0.842105263157895,0.82051282051282,0.831168831168831,0.286268556005398,0.813333333333333,0.782051282051282,0.797385620915033,0.35984060984061,0.876712328767123,0.82051282051282,0.847682119205298,0.227130977130977,0.857142857142857,0.769230769230769,0.810810810810811,0.312543312543313,0.846153846153846,0.714285714285714,0.774647887323944,0.312542720437457
2022-09-09 13:37:25.051743,ripperK,bpi15E,decl2,dwd,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987179487179487,0.993548387096774,0.993589743589744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:38:32.339400,ripperK,bpi15E,decl2,bs_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:39:43.079981,ripperK,bpi15E,decl2,mr_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:40:55.724963,ripperK,bpi15E,decl2,mra_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:41:50.945995,ripperK,bpi15E,decl2,tr_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:42:44.557370,ripperK,bpi15E,decl2,tra_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-10 00:02:52.715301,ripperK,bpi15E,decl2,dc_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-10 09:03:11.164705,ripperK,bpi15E,decl2,dc_dwd_payload,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987179487179487,0.993548387096774,0.993589743589744,1,1,1,1,1,1,1,1
